sourceNeuron;targetNeuron;w
13;44;0.20503351092338562
13;53;-0.20053614675998688
13;62;-1.4946043491363525
13;71;0.6863235831260681
14;2;0.37006697058677673
14;11;-0.6948227882385254
14;20;-0.6061433553695679
14;29;0.17318984866142273
14;38;-0.2768089771270752
14;47;-0.14691463112831116
14;56;-0.05554672330617905
14;65;-0.4648934304714203
14;5;0.40766245126724243
14;14;0.016026906669139862
14;23;0.47640225291252136
14;32;-0.1975979506969452
14;41;-0.08302116394042969
14;50;-0.7541444301605225
14;59;-0.2827000021934509
14;68;0.6315658688545227
14;8;-0.4434586465358734
14;17;-0.49205541610717773
14;26;-0.4547809362411499
14;35;0.03805860877037048
14;44;0.08373167365789413
14;53;-0.13635492324829102
14;62;0.06562218070030212
14;71;0.4050241708755493
15;3;0.06427519023418427
15;12;-0.30531981587409973
15;21;-0.14318282902240753
15;30;-0.15706171095371246
15;39;0.3695352375507355
15;48;-0.7147053480148315
15;57;-0.29288923740386963
15;66;0.0943693220615387
15;6;-0.6458497047424316
15;15;0.24779656529426575
15;24;-0.057577863335609436
15;33;0.08910726755857468
15;42;-0.34744027256965637
15;51;-0.029870230704545975
15;60;0.008031423203647137
15;69;-0.3257092535495758
16;3;-0.010312197729945183
16;12;0.8144087791442871
16;21;0.3271990716457367
16;30;-0.158585324883461
16;39;0.24543225765228271
16;48;-0.07640551775693893
16;57;0.19777768850326538
16;66;0.09497097879648209
16;4;0.06427519023418427
16;13;-0.30531981587409973
16;22;-0.14318282902240753
16;31;-0.15706171095371246
16;40;0.3695352375507355
16;49;-0.7147053480148315
16;58;-0.29288923740386963
16;67;0.0943693220615387
16;6;-0.12136081606149673
16;15;-0.010594380088150501
16;24;-0.02380470000207424
16;33;-0.21156828105449677
16;42;0.28398364782333374
16;51;0.07610068470239639
16;60;0.09002327173948288
16;69;0.0893876776099205
16;7;-0.6458497047424316
16;16;0.24779656529426575
16;25;-0.057577863335609436
16;34;0.08910726755857468
16;43;-0.34744027256965637
16;52;-0.029870230704545975
16;61;0.008031423203647137
16;70;-0.3257092535495758
17;3;0.37006697058677673
17;12;-0.6948227882385254
17;21;-0.6061433553695679
17;30;0.17318984866142273
17;39;-0.2768089771270752
17;48;-0.14691463112831116
17;57;-0.05554672330617905
17;66;-0.4648934304714203
17;4;-0.010312197729945183
17;13;0.8144087791442871
17;22;0.3271990716457367
17;31;-0.158585324883461
17;40;0.24543225765228271
17;49;-0.07640551775693893
17;58;0.19777768850326538
17;67;0.09497097879648209
17;5;0.06427519023418427
17;14;-0.30531981587409973
17;23;-0.14318282902240753
17;32;-0.15706171095371246
